Listings,Price,Room Type,Reviews,Location
BED & BATHROOM in BROOKLYN,70,Private room,2,"Bedford-Stuyvesant, Brooklyn"
Elegant LG ParkSlope 2bd Brownstone,160,Entire home/apt,1,"Park Slope, Brooklyn"
Private Room in WILLIAMSBURG,90,Private room,1,"Williamsburg, Brooklyn"
BUDGET ROOM 15 MINUTES TO MANHATTAN,59,Private room,1,"Bushwick, Brooklyn"
Beautiful communal house Bushwick,60,Private room,7,"Bushwick, Brooklyn"
Private 1BR @ Spacious Sunny Duplex,65,Private room,9,"Bushwick, Brooklyn"
Sunny Room in Classic Artist's Loft,85,Private room,4,"Greenpoint, Brooklyn"
Sun filled 2BR in BedStuy Townhouse,110,Entire home/apt,4,"Bedford-Stuyvesant, Brooklyn"
Private Room in Williamsburg Loft,115,Private room,5,"Williamsburg, Brooklyn"
Skylight BR in Gorgeous Rooftop Apt,89,Private room,8,"Bushwick, Brooklyn"
Experience NYC For $26 Per Night!,26,Shared room,4,"Bedford-Stuyvesant, Brooklyn"
Gorgeous Modern 1BD in Heart of BK,150,Entire home/apt,4,"Williamsburg, Brooklyn"
Room in Brownstone by Prospect Park,135,Private room,4,"Park Slope, Brooklyn"
Your Prospect Heights Garden Oasis!,175,Entire home/apt,3,"Prospect Heights, Brooklyn"
Pretty and Private in Clinton Hill,100,Private room,7,"Clinton Hill, Brooklyn"
Sunny Private Williamsburg room,100,Private room,1,"Williamsburg, Brooklyn"
Rare Williamsburg Penthouse Retreat,105,Private room,3,"Williamsburg, Brooklyn"
PRIVATE and SUNNY Williamsburg Apt!,139,Entire home/apt,1,"Williamsburg, Brooklyn"
COMFY ROOM #1 ~ AMAZING LOCATION!,89,Private room,7,"Williamsburg, Brooklyn"
Beautiful room attached to bathroom,78,Private room,3,"Greenpoint, Brooklyn"
Sun-drenched 1 Bedroom on the Park,129,Entire home/apt,2,"Greenpoint, Brooklyn"
Boerum Hill Apartment,145,Entire home/apt,2,"Boerum Hill, Brooklyn"
rm + bath steps from park and train,120,Private room,7,"Lefferts Garden, Brooklyn"
Waterbury House East Williamsburg 2,105,Private room,6,"Williamsburg, Brooklyn"
PERFECT room in prime Williamsburg!,84,Private room,3,"Williamsburg, Brooklyn"
Beautiful Brooklyn with garden!,140,Entire home/apt,6,"Crown Heights, Brooklyn"
Room in Charming Brooklyn Home,100,Private room,2,"Boerum Hill, Brooklyn"
Lovely Private Room in Brownstone,80,Private room,2,"Crown Heights, Brooklyn"
"Single room, City in 15! Great spot",50,Private room,1,"Bedford-Stuyvesant, Brooklyn"
+++ Brooklyn Lodge & Rooftop  +++,110,Private room,1,"Williamsburg, Brooklyn"
NYC gorgeous private room and bath,72,Private room,8,"Bedford-Stuyvesant, Brooklyn"
Park Slope Tree Top Quiet Apartment,250,Entire home/apt,2,"Park Slope, Brooklyn"
Sunny 2bdrm Park Slope artist's apt,145,Entire home/apt,1,"Park Slope, Brooklyn"
Central Williamsburg Fab Large Room,70,Private room,8,"Williamsburg, Brooklyn"
Sunny Room in the Heart of it All!,98,Private room,5,"Williamsburg, Brooklyn"
Brooklyn Artist loft off Bedford,60,Private room,6,"Williamsburg, Brooklyn"
Cozy Room in Greenpoint Brooklyn,60,Private room,3,"Greenpoint, Brooklyn"
"Sunny, calm room in Victorian home",79,Private room,6,"Bedford-Stuyvesant, Brooklyn"
Cozy Room in Charming Brownstone,60,Private room,1,"Sunset Park, Brooklyn"
Charming Room Private Entry Wburg,80,Private room,3,"Williamsburg, Brooklyn"
Park Slope Brooklyn!  Sunny Bedroom,115,Private room,1,"Park Slope, Brooklyn"
A Breathtaking Brooklyn Experience!,89,Private room,1,"Fort Greene, Brooklyn"
Charming Boerum Hill - Private Deck,85,Private room,8,"Boerum Hill, Brooklyn"
"Modern, spacious Brkln brownstone",285,Entire home/apt,4,"Prospect Heights, Brooklyn"
Huge Williamsburg Loft by L train,99,Private room,6,"Williamsburg, Brooklyn"
cozy brooklyn nest in Park Slope!,150,Entire home/apt,2,"Park Slope, Brooklyn"
Sunny Central Williamsburg Apt,140,Entire home/apt,1,"Williamsburg, Brooklyn"
"3 Bedroom- Bright,  Airy,  Private",110,Entire home/apt,6,"Bedford-Stuyvesant, Brooklyn"
"large bdroom, priv bth, priv living",85,Private room,3,"Bedford-Stuyvesant, Brooklyn"
Sunny Studio on Prospect Park,100,Entire home/apt,5,"Prospect Heights, Brooklyn"
Brooklyn Artist Loft (Large Room),44,Private room,1,"Williamsburg, Brooklyn"
"""The Country"" & the NYC Waterfront!",160,Entire home/apt,9,"Williamsburg, Brooklyn"
BnoB (2 br) — Heart of Williamsburg,250,Entire home/apt,1,"Williamsburg, Brooklyn"
large garden triplex apt near PRATT,225,Entire home/apt,3,"Clinton Hill, Brooklyn"
Private Room In a Modern HUGE Loft,99,Private room,3,"Williamsburg, Brooklyn"
Great Loft - Private Room & Bath,110,Private room,6,"Windsor Terrace, Brooklyn"
"NYC, Modern & Comfortable. THE ONE",199,Entire home/apt,5,"Williamsburg, Brooklyn"
Brooklyn Garden Apartment,99,Entire home/apt,1,"Bedford-Stuyvesant, Brooklyn"
Best Room in Bushwick,45,Private room,1,"Bushwick, Brooklyn"
Greenpoint small studio,90,Private room,2,"Greenpoint, Brooklyn"
New City View Studio - Williamsburg,150,Entire home/apt,2,"Williamsburg, Brooklyn"
2nd Fl Bklyn Brownstone Apt!,100,Entire home/apt,3,"Lefferts Garden, Brooklyn"
Amazing Apt! Private Rooftop Space!,225,Entire home/apt,5,"Williamsburg, Brooklyn"
Mayor's Mansion - Garden_Suite,100,Private room,1,"Fort Greene, Brooklyn"
A bedroom with a sunroom!,145,Entire home/apt,9,"Fort Greene, Brooklyn"
COMFY ROOM #3 ~ AMAZING LOCATION!,79,Private room,7,"Williamsburg, Brooklyn"
"park slope, prime area location",150,Entire home/apt,2,"Park Slope, Brooklyn"
Sunny Master Bedroom on L Train,60,Private room,3,"Bushwick, Brooklyn"
Urban Jungle Garden Duplex,150,Entire home/apt,1,"Bedford-Stuyvesant, Brooklyn"
New studio APT with marble floors!,68,Entire home/apt,6,"Bushwick, Brooklyn"
Brand new condo near Prospect Park,98,Private room,2,"Lefferts Garden, Brooklyn"
"Stunning new room WILLIAMSBURG, NY",89,Private room,7,"Williamsburg, Brooklyn"
Beautiful Apt. in Prospect Heights,125,Entire home/apt,6,"Crown Heights, Brooklyn"
Minutes To Manhattan!!,160,Entire home/apt,1,"Bushwick, Brooklyn"
"Classic Brownstone Beauty, Sleeps 4",198,Entire home/apt,5,"Crown Heights, Brooklyn"
Amazing Private Bedroom in Bushwick,62,Private room,3,"Bedford-Stuyvesant, Brooklyn"
carriage house apartment,150,Entire home/apt,8,"Clinton Hill, Brooklyn"
Cozy Room in the heart Williamsburg,100,Private room,4,"Williamsburg, Brooklyn"
Charming studio apartment!,120,Entire home/apt,3,"Fort Greene, Brooklyn"
Sunny 2BR PRIME Williamsburg w/VIEW,200,Entire home/apt,2,"Williamsburg, Williamsburg, Brooklyn"
Luxury Private Bed nr C/3 Subways,66,Private room,5,"Crown Heights, Brooklyn"
Bright+Spacious Williamsburg Abode!,99,Entire home/apt,4,"Williamsburg, Brooklyn"
Modern One bedroom in Williamsburg,260,Entire home/apt,1,"Greenpoint, Brooklyn"
Big Gorgeous Room in Williamsburg!,68,Private room,1,"Williamsburg, Brooklyn"
"Great location, cozy, near F, G, R!",140,Entire home/apt,9,"Park Slope, Brooklyn"
Large Bedroom 15 Min From Manhattan,45,Private room,5,"Sunset Park, Brooklyn"
"The M, a Charming Garden Apartment",110,Entire home/apt,3,"Bedford-Stuyvesant, Brooklyn"
"Peace room, private bath, breakfast",80,Private room,2,"Bedford-Stuyvesant, Brooklyn"
"1Bedroom, Seconds from L train",81,Private room,2,"Bushwick, Brooklyn"
Sunny Williamsburg Penthouse,119,Private room,6,"Williamsburg, Brooklyn"
"Big Sunny Room, Prime Williamsburg",99,Private room,3,"Williamsburg, Brooklyn"
Sunny Bedroom in Williamsburg,95,Private room,4,"Williamsburg, Brooklyn"
"Big 2 bdrm in DUMBO, Brooklyn, NY",195,Entire home/apt,2,"DUMBO, Brooklyn"
Private room in north Park Slope,90,Private room,3,"Park Slope, Brooklyn"
Open Design Williamsburg Loft,269,Entire home/apt,5,"Williamsburg, Brooklyn"
Brooklyn Budget Williamsburg NYC 3,50,Private room,8,"Williamsburg, Brooklyn"
Sunny room in modern apartment,69,Private room,1,"Crown Heights, Brooklyn"
Cozy Studio on Beautiful Block,100,Entire home/apt,8,"Prospect Heights, Brooklyn"
Brand new 2 bedroom apartment,130,Entire home/apt,1,"Bedford-Stuyvesant, Brooklyn"
Loft Studio in Brooklyn Brownstone,129,Entire home/apt,4,"Clinton Hill, Brooklyn"
Sunfilled Skylit Townhouse 3BD,190,Entire home/apt,7,"Clinton Hill, Brooklyn"
Lovely Room in Williamsburg Loft,105,Private room,2,"Williamsburg, Brooklyn"
Beautiful Room w/ Rooftop Patio!,100,Private room,1,"Williamsburg, Brooklyn"
Nice & bright room in Bushwick,35,Private room,1,"Bushwick, Brooklyn"
Best View of Mnhtn in Crown Heights,85,Private room,7,"Crown Heights, Brooklyn"
Beautiful room off Bedford ave.,65,Private room,5,"Williamsburg, Brooklyn"
Queen Bed with Private Bathroom,60,Private room,3,"Williamsburg, Brooklyn"
IDEALLY LOCATED - WHOLE APARTMENT,130,Entire home/apt,4,"Boerum Hill, Brooklyn"
Brooklyn Design Loft,100,Private room,1,"Williamsburg, Brooklyn"
Beautiful Park Slope Apartment,110,Entire home/apt,1,"Park Slope, Brooklyn"
The Garden Apartment,150,Entire home/apt,6,"Park Slope, Brooklyn"
Perfect room at Perfect location,60,Private room,1,"Flatbush, Brooklyn"
Sunny Industrial Loft in Brooklyn,175,Entire home/apt,2,"Greenpoint, Brooklyn"
Gorgeous 2BR Apt in Brownstone,225,Entire home/apt,8,"Clinton Hill, Brooklyn"
Spacious Williamsburg/Bushwick loft,72,Private room,8,"Bedford-Stuyvesant, Brooklyn"
Gorgeous duplex 1 BR Brownstone apt,150,Entire home/apt,2,"Clinton Hill, Brooklyn"
Sunny Room 1/2 Block from L Train!,55,Private room,5,"Bushwick, Brooklyn"
Private Garden Apt • New Renovation,140,Entire home/apt,3,"Williamsburg, Brooklyn"
Charming Park Slope Apt W/Garden,165,Entire home/apt,2,"Park Slope, Brooklyn"
Centrally Located Ft. Greene Apt!,175,Entire home/apt,1,"Fort Greene, Brooklyn"
Sunny Private Room in Williamsburg,80,Private room,5,"Williamsburg, Brooklyn"
"Cozy room, great view of Manhattan",95,Private room,4,"Clinton Hill, Brooklyn"
Luxury Landmark Converted Stable,600,Entire home/apt,1,"Clinton Hill, Brooklyn"
Williamsburg apartment with terrace,175,Entire home/apt,7,"Williamsburg, Brooklyn"
Private Studio in Greenpoint,140,Entire home/apt,7,"Greenpoint, Brooklyn"
House on 11th - Garden Level Apt.,165,Entire home/apt,1,"Gowanus, Brooklyn"
Private Bedroom & Bathroom W/ Yard,65,Private room,3,"Bushwick, Brooklyn"
Beautiful Williamsburg Bedford Gem!,188,Entire home/apt,1,"Williamsburg, Brooklyn"
Sunny 1 or 2 BR apt in Boerum Hill,179,Entire home/apt,7,"Boerum Hill, Brooklyn"
Williamsburg Penthouse Guestroom,75,Private room,1,"Williamsburg, Brooklyn"
