Listings,Price,Room Type,Reviews,Location
BUDGET ROOM 15 MINUTES TO MANHATTAN,59,Private room,10 reviews,"Bushwick, Brooklyn"
B Luxury Private Room Duplex Loft,100,Private room,18 reviews,"Williamsburg, Brooklyn"
Beds Bikes Breakfast (on the Park2),45,Private room,28 reviews,"Flatbush, Brooklyn"
Cozy Williamsburg 20 min Manhattan!,99,Private room,14 reviews,"Williamsburg, Brooklyn"
Private Master Suite in Park Slope,115,Private room,99 reviews,"Park Slope, Brooklyn"
Sunny & modern  1bd/1ba home,140,Entire home/apt,11 reviews,"Clinton Hill, Brooklyn"
HIP ROOM 2 PRIME CHIC WILLYBURG!!,100,Private room,23 reviews,"Williamsburg, Brooklyn"
Spacious & Sunny in Prime Brooklyn,150,Entire home/apt,28 reviews,"Clinton Hill, Brooklyn"
Room In Loft Nr Brooklyn Waterfront,105,Private room,26 reviews,"DUMBO, Brooklyn"
Open Design Williamsburg Loft,269,Entire home/apt,56 reviews,"Williamsburg, Brooklyn"
SUNNY WILLIAMSBURG ARTIST LOFT,189,Entire home/apt,67 reviews,"Williamsburg, Brooklyn"
Heart of Williamsburg. Brand New.,69,Private room,102 reviews,"Williamsburg, Brooklyn"
Beautiful Room near Manhattan,45,Private room,31 reviews,"Bedford-Stuyvesant, Brooklyn"
carriage house apartment,150,Entire home/apt,86 reviews,"Clinton Hill, Brooklyn"
Best Bedroom with Private Bathroom,99,Private room,24 reviews,"Williamsburg, Brooklyn"
Spacious loft in Downtown Brooklyn,98,Private room,56 reviews,"Downtown Brooklyn, Brooklyn"
Private Bedroom in the loft,60,Private room,19 reviews,"Bushwick, Brooklyn"
Large room in great neighborhood,88,Private room,75 reviews,"Williamsburg, Brooklyn"
"Sunny, Large, Park Slope Bedroom",105,Private room,80 reviews,"Park Slope, Brooklyn"
"Large Bedroom, Stunning Apartment!",140,Private room,24 reviews,"Williamsburg, Brooklyn"
Loft in Fort Greene/Clinton Hill,99,Entire home/apt,O reviews,"Clinton Hill, Brooklyn"
Luxury Loft Private Room A (3C),100,Private room,26 reviews,"Williamsburg, Brooklyn"
Great Apt in HEART of Williamsburg!,101,Entire home/apt,25 reviews,"Williamsburg, Brooklyn"
Large apartment w/ Parking,89,Entire home/apt,45 reviews,"Bushwick, Brooklyn"
Cozy KING Size Bed in Brooklyn,55,Private room,40 reviews,"East New York, Brooklyn"
Tinny single room,40,Private room,8 reviews,"Bedford-Stuyvesant, Brooklyn"
"Bushwick Biodome Loft , Great View!",75,Private room,14 reviews,"Williamsburg, Brooklyn"
Palace in the Sky,295,Entire home/apt,17 reviews,"Williamsburg, Brooklyn"
Great spot right on Bedford Ave!,70,Private room,20 reviews,"Williamsburg, Brooklyn"
Charming Room Private Entry Wburg,80,Private room,30 reviews,"Williamsburg, Brooklyn"
Sunny Room in Classic Artist's Loft,85,Private room,42 reviews,"Greenpoint, Brooklyn"
Beautiful Brooklyn share apartment,65,Shared room,13 reviews,"Bay Ridge, Brooklyn"
Spacious Private Bedroom & Living,99,Private room,169 reviews,"Park Slope, Brooklyn"
Spacious Room in NYC Loft,85,Private room,46 reviews,"Williamsburg, Brooklyn"
Beds Bikes Breakfast (on The Park!),55,Private room,36 reviews,"Flatbush, Brooklyn"
Entire Spacious & Sunny Apartment,120,Entire home/apt,5 reviews,"Clinton Hill, Brooklyn"
A bedroom with a sunroom!,152,Entire home/apt,8 reviews,"Fort Greene, Brooklyn"
"Great Room, Great Hosts, Great Hood",40,Private room,31 reviews,"Bushwick, Brooklyn"
Private King Sized Room in Duplex,149,Private room,8 reviews,"Williamsburg, Brooklyn"
Charming studio apartment!,120,Entire home/apt,39 reviews,"Fort Greene, Brooklyn"
Beautiful & Cozy on Bedford Ave!,75,Private room,16 reviews,"Williamsburg, Brooklyn"
Sunny Private Room in Two-Bedroom,50,Private room,O reviews,"Williamsburg, Brooklyn"
Cozy room in nyc!,49,Private room,158 reviews,"Crown Heights, Brooklyn"
Private Room in Williamsburg Loft,75,Private room,15 reviews,"Williamsburg, Brooklyn"
Charming Boerum Hill - Private Deck,85,Private room,88 reviews,"Boerum Hill, Brooklyn"
Hip Luxury Williamsburg 1 -Bedroom,150,Entire home/apt,8 reviews,"Williamsburg, Brooklyn"
Great 175 sq ft private room in BK,60,Private room,30 reviews,"Bedford-Stuyvesant, Brooklyn"
New Luxury 2-Bed Apt In Brooklyn!,99,Entire home/apt,17 reviews,"Sunset Park, Brooklyn"
Beautiful Studio Apartment,95,Private room,29 reviews,"Park Slope, Brooklyn"
Brooklyn Budget Williamsburg NYC 1,50,Private room,102 reviews,"Williamsburg, Brooklyn"
Guestroom w/ 2 beds 20 mins to NYC,55,Private room,92 reviews,"Bushwick, Brooklyn"
"Bright, BedStuy Gem!",75,Entire home/apt,11 reviews,"Bedford-Stuyvesant, Brooklyn"
Cute brick wall Br in Williamsburg.,65,Private room,9 reviews,"Williamsburg, Brooklyn"
Room for a girl in Park Slope,45,Private room,15 reviews,"Park Slope, Brooklyn"
Private single room in Brownstone,52,Private room,7 reviews,"Bedford-Stuyvesant, Brooklyn"
Your Own 2 Br Apt Bedford and Grand,180,Entire home/apt,79 reviews,"Williamsburg, Brooklyn"
"""The Country"" & the NYC Waterfront!",160,Entire home/apt,88 reviews,"Williamsburg, Brooklyn"
Mod Bushwick Escape by the L Train,50,Private room,27 reviews,"Bushwick, Brooklyn"
Brooklyn Budget Williamsburg NYC 2,50,Private room,69 reviews,"Williamsburg, Brooklyn"
Beautiful Private Room with Bath,65,Private room,52 reviews,"Bedford-Stuyvesant, Brooklyn"
It's like country in the city,350,Entire home/apt,85 reviews,"Greenpoint, Brooklyn"
Loft 305: Classic Brooklyn,179,Entire home/apt,31 reviews,"Greenpoint, Brooklyn"
Open floor plan loft,130,Entire home/apt,1 review,"Williamsburg, Brooklyn"
Huge BR in W'Burg - pvt terrace,109,Private room,4 reviews,"Williamsburg, Brooklyn"
One bedroom - Clinton Hill,90,Private room,3 reviews,"Bedford-Stuyvesant, Brooklyn"
SUNNY penthouse w/patio & city view,95,Private room,41 reviews,"Williamsburg, Brooklyn"
Spacious Loft 5 min to Union Square,130,Private room,76 reviews,"Williamsburg, Brooklyn"
Spacious Studio 3 - Fort Greene,60,Private room,49 reviews,"Boerum Hill, Brooklyn"
Sun soaked studio in Williamsburg,140,Entire home/apt,16 reviews,"Williamsburg, Brooklyn"
Open artist loft close to Manhattan,125,Entire home/apt,20 reviews,"Williamsburg, Brooklyn"
HUGE ROOM 1 - 15 MINUTES >MANHATTAN,78,Private room,28 reviews,"Bushwick, Brooklyn"
Brooklyn Artist's Loft with Gym,70,Entire home/apt,1 review,"Bedford-Stuyvesant, Brooklyn"
"Quiet, Private Bedroom Nr J Subway",52,Private room,1 review,"Bushwick, Brooklyn"
"LOCATION! beautiful,spacious (Rm#1)",65,Private room,32 reviews,"Prospect Heights, Brooklyn"
2 BEDROOM APT: free WiFi & Jacuzzi,125,Entire home/apt,26 reviews,"Bedford-Stuyvesant, Brooklyn"
Sunny 1BR in S Williamsburg off JMZ,130,Entire home/apt,11 reviews,"Williamsburg, Brooklyn"
"Cozy Rooftop apt in Brooklyn, NY",100,Entire home/apt,33 reviews,"Clinton Hill, Brooklyn"
1BD brownstone apt in Fort Greene!,120,Entire home/apt,17 reviews,"Fort Greene, Brooklyn"
Fort Greene Magic on Elliott Place,79,Private room,54 reviews,"Fort Greene, New York"
Cozy Room In Vibrant Neighborhood!!,49,Private room,58 reviews,"Bushwick, Brooklyn"
Very Sweet Brooklyn Apt,90,Entire home/apt,15 reviews,"Gowanus, Brooklyn"
Rare Williamsburg Penthouse Retreat,105,Private room,31 reviews,"Williamsburg, Brooklyn"
"Steps From Art, Shopping & Eats",150,Entire home/apt,11 reviews,"Prospect Heights, Brooklyn"
Clinton Hill Perfect Room,70,Private room,112 reviews,"Clinton Hill, Brooklyn"
